id,title,model_year,cost,url,category,sub_category
4461674,CTM Caliber 2.0 XL,630 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461674/ctm-caliber-20-xl.html,horske-bicykle,pevne-a-hardtail
4461657,Scott 730 Aspect M,550 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461657/scott-730-aspect-m-.html,horske-bicykle,pevne-a-hardtail
4461651,Ghost Nirvana Essential,1350 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461651/ghost-nirvana-essential-.html,horske-bicykle,pevne-a-hardtail
4461600,Rock Machine Torent 70 ram xxl 2020,850 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461600/rock-machine-torent-70-ram-xxl-2020.html,horske-bicykle,pevne-a-hardtail
4461541,Ghost Kato Advanced 29,650 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461541/ghost-kato-advanced-29.html,horske-bicykle,pevne-a-hardtail
477497,Súrne predám Stuf 27.5,370 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/477497/-surne-predam-stuf-275.html,horske-bicykle,pevne-a-hardtail
4461518,Skladaci bicykel Dahon Matrix,540 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461518/skladaci-bicykel-dahon-matrix.html,horske-bicykle,pevne-a-hardtail
4461486,Cube aim race 2020,490 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461486/cube-aim-race-2020.html,horske-bicykle,pevne-a-hardtail
4461427,Bicykel,50 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461427/bicykel.html,horske-bicykle,pevne-a-hardtail
484688,"Ctm rambler 2.0 L 29""",640 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484688/ctm-rambler-20-l-29.html,horske-bicykle,pevne-a-hardtail
4461408,CTM Quadra 3.0,150 €,2013,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461408/ctm-quadra-30.html,horske-bicykle,pevne-a-hardtail
484086,Specialized Chisel Comp 2021 - M,1525 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484086/specialized-chisel-comp-2021-m.html,horske-bicykle,pevne-a-hardtail
4461279,Predám hardtail Dema Scaleo 7.0,1690 €,2015,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461279/predam-hardtail-dema-scaleo-70.html,horske-bicykle,pevne-a-hardtail
4461218,Bombtrack Beyond XL,2000 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461218/bombtrack-beyond-xl.html,horske-bicykle,pevne-a-hardtail
4461189,Predám dva bicykle na súčiastky,200 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461189/predam-dva-bicykle-na-suciastky.html,horske-bicykle,pevne-a-hardtail
470653,Kellys Spider 30 veľkosti S,800 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/470653/kellys-spider-30-velkosti-s.html,horske-bicykle,pevne-a-hardtail
4461183,Merida Matts  TFS 500..xc trail,430 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461183/merida-matts-tfs-500xc-trail.html,horske-bicykle,pevne-a-hardtail
4461163,Dema Adro 5.0,850 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461163/dema-adro-50.html,horske-bicykle,pevne-a-hardtail
4461153,GT Zaskar LT 29 Expert 2021 M,1500 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461153/gt-zaskar-lt-29-expert-2021-m.html,horske-bicykle,pevne-a-hardtail
4461148,CTM Zephyr 2020 (L),460 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461148/ctm-zephyr-2020-l.html,horske-bicykle,pevne-a-hardtail
4461101,Ghost Kato 2.7 2018 vel. L 175-190,270 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461101/ghost-kato-27-2018-vel-l-175-190.html,horske-bicykle,pevne-a-hardtail
4461060,"26"" Bike Maxbike lady",280 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461060/26-bike-maxbike-lady.html,horske-bicykle,pevne-a-hardtail
4461052,Kellys Thorx 30 (2017),550 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461052/kellys-thorx-30-2017.html,horske-bicykle,pevne-a-hardtail
4461045,Lapierre Prorace 3.9,1090 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461045/lapierre-prorace-39.html,horske-bicykle,pevne-a-hardtail
4461035,Predam Superior Team 29 Issue velkost L,3599 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461035/predam-superior-team-29-issue-velkost-l.html,horske-bicykle,pevne-a-hardtail
4461008,CTM Rambler 2.0,440 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461008/ctm-rambler-20.html,horske-bicykle,pevne-a-hardtail
473944,Predám Meridu Matts TFS XC 800 D,499 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/473944/predam-meridu-matts-tfs-xc-800-d-.html,horske-bicykle,pevne-a-hardtail
4460953,Wheeler Carbon,950 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460953/wheeler-carbon-.html,horske-bicykle,pevne-a-hardtail
465315,"Cube Race ONE LTD | 18 | 27,5 |",750 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/465315/cube-race-one-ltd-18-275-.html,horske-bicykle,pevne-a-hardtail
4460949,Bicykel Dynamic,240 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460949/bicykel-dynamic.html,horske-bicykle,pevne-a-hardtail
4460944,KTM Myroon Master,1100 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460944/ktm-myroon-master.html,horske-bicykle,pevne-a-hardtail
484165,Felt Doctrine 2,1850 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484165/felt-doctrine-2.html,horske-bicykle,pevne-a-hardtail
483248,Predám Bmc Teamelite Te02 veľkosť M,1600 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483248/predam-bmc-teamelite-te02-velkost-m.html,horske-bicykle,pevne-a-hardtail
483524,"Kenzel shade 27,5",350 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483524/kenzel-shade-275.html,horske-bicykle,pevne-a-hardtail
480930,Cannondale F-Si carbon 2,2300 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480930/cannondale-f-si-carbon-2.html,horske-bicykle,pevne-a-hardtail
4460809,"Marin Bobcat Trail 5, model 2021",800 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460809/marin-bobcat-trail-5-model-2021.html,horske-bicykle,pevne-a-hardtail
4460702,CTM Zephyr v záruke,399 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460702/ctm-zephyr-v-zaruke-.html,horske-bicykle,pevne-a-hardtail
4460678,Rock machine blizz 70-29,1100 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460678/rock-machine-blizz-70-29.html,horske-bicykle,pevne-a-hardtail
4460675,Kellys gibon 70 2018,890 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460675/kellys-gibon-70-2018.html,horske-bicykle,pevne-a-hardtail
471251,Canyon Grand Canyon CF SL 7.9 2016,1199 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/471251/canyon-grand-canyon-cf-sl-79-2016.html,horske-bicykle,pevne-a-hardtail
4460586,Predám bicykel zn. Framonte,80 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460586/predam-bicykel-zn-framonte.html,horske-bicykle,pevne-a-hardtail
4460556,Trek Procaliber 6 - purple haze,1200 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460556/trek-procaliber-6-purple-haze.html,horske-bicykle,pevne-a-hardtail
4460544,Predám Scott Scale 980,840 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4460544/predam-scott-scale-980.html,horske-bicykle,pevne-a-hardtail
485418,Predám Specialized Pitch Sport 2016,360 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485418/predam-specialized-pitch-sport-2016.html,horske-bicykle,pevne-a-hardtail
477028,Kellys salamander,150 €,2010,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/477028/kellys-salamander-.html,horske-bicykle,pevne-a-hardtail
472009,Kross Level 14,2200 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/472009/kross-level-14.html,horske-bicykle,pevne-a-hardtail
447835,Specialized Hardrock A1 Fs -,170 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/447835/specialized-hardrock-a1-fs-.html,horske-bicykle,pevne-a-hardtail
485213,Specialized rockhopper,700 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485213/specialized-rockhopper-.html,horske-bicykle,pevne-a-hardtail
485203,Dirt Parade Smoke,100 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485203/dirt-parade-smoke.html,horske-bicykle,pevne-a-hardtail
485199,"MTB 29"" Twitter X1",649 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485199/mtb-29-twitter-x1.html,horske-bicykle,pevne-a-hardtail
485184,Scott scale 925,2000 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485184/scott-scale-925.html,horske-bicykle,pevne-a-hardtail
